,Equities,Gov Bonds,Alternatives,HY Credit,Gold
1875-01-31,0.0,0.0,0.0,0.0,0.0
1875-02-28,0.43848787780279985,0.5613973533150178,0.0,0.0,0.0
1875-03-31,0.42913514105508627,0.5707685294122276,0.0,0.0,0.0
1875-04-30,0.42911224263567,0.5707903003113165,0.0,0.0,0.0
1875-05-31,0.4291313779859649,0.5708331803352071,0.0,0.0,0.0
1875-06-30,0.42912950107344217,0.5707446072702469,0.0,0.0,0.0
1875-07-31,0.4290813284736272,0.5707918794692328,0.0,0.0,0.0
1875-08-31,0.42911321150823195,0.570777270623711,0.0,0.0,0.0
1875-09-30,0.4291416160999903,0.5707388893765231,0.0,0.0,0.0
1875-10-31,0.4291495434227378,0.5708278381803682,0.0,0.0,0.0
1875-11-30,0.41971551258196604,0.5802118300281329,0.0,0.0,0.0
1875-12-31,0.41973775341748065,0.5801935314102133,0.0,0.0,0.0
1876-01-31,0.4197019400497242,0.5802056675682681,0.0,0.0,0.0
1876-02-29,0.41977412826631955,0.5801980711682212,0.0,0.0,0.0
1876-03-31,0.4103120059431037,0.5895730688400302,0.0,0.0,0.0
1876-04-30,0.4197225215366531,0.580159093138161,0.0,0.0,0.0
1876-05-31,0.41972911170575256,0.5801833509157369,0.0,0.0,0.0
1876-06-30,0.41978227031948206,0.580123125754823,0.0,0.0,0.0
1876-07-31,0.41970332882873423,0.5801493585698886,0.0,0.0,0.0
1876-08-31,0.41975259768083334,0.5801572633480148,0.0,0.0,0.0
1876-09-30,0.41970617966725765,0.5801520812948987,0.0,0.0,0.0
1876-10-31,0.4197073592410814,0.5801515985458874,0.0,0.0,0.0
1876-11-30,0.4197508058875802,0.5801431135156452,0.0,0.0,0.0
1876-12-31,0.41974436973953166,0.5801791616693369,0.0,0.0,0.0
1877-01-31,0.41973344205434177,0.5801620541130111,0.0,0.0,0.0
1877-02-28,0.41977359821968435,0.5801828624365689,0.0,0.0,0.0
1877-03-31,0.41973734634743737,0.5801271901446375,0.0,0.0,0.0
1877-04-30,0.42913302386465757,0.5708062420307051,0.0,0.0,0.0
1877-05-31,0.42911895402156525,0.5707281831447045,0.0,0.0,0.0
1877-06-30,0.42910259648799026,0.5707673512498279,0.0,0.0,0.0
1877-07-31,0.4197215300379519,0.5801135210597882,0.0,0.0,0.0
1877-08-31,0.4197251893328817,0.5801059256798754,0.0,0.0,0.0
1877-09-30,0.4103834828246355,0.5895727097345175,0.0,0.0,0.0
1877-10-31,0.41039688218640175,0.5895740518022135,0.0,0.0,0.0
1877-11-30,0.4103754440547136,0.5895001036107405,0.0,0.0,0.0
1877-12-31,0.41032492065663445,0.5894839200085166,0.0,0.0,0.0
1878-01-31,0.41032548153062637,0.5895727708744161,0.0,0.0,0.0
1878-02-28,0.410390598662515,0.5895169044332373,0.0,0.0,0.0
1878-03-31,0.4103956916392513,0.5895794061682655,0.0,0.0,0.0
1878-04-30,0.40096815832351634,0.598956708783933,0.0,0.0,0.0
1878-05-31,0.40095039011331335,0.5989384617245854,0.0,0.0,0.0
1878-06-30,0.4010096761540626,0.5989172304922789,0.0,0.0,0.0
1878-07-31,0.40097170580571023,0.5989411594934058,0.0,0.0,0.0
1878-08-31,0.4010106597325814,0.5988941885183632,0.0,0.0,0.0
1878-09-30,0.4010091241200345,0.5989621076344841,0.0,0.0,0.0
1878-10-31,0.40095236227054665,0.5988733843881592,0.0,0.0,0.0
1878-11-30,0.40095514814084127,0.5989227481020931,0.0,0.0,0.0
1878-12-31,0.39165309670626614,0.6083254559661079,0.0,0.0,0.0
1879-01-31,0.3916071727607053,0.6082984080646344,0.0,0.0,0.0
1879-02-28,0.3915581800646802,0.6082465726006265,0.0,0.0,0.0
1879-03-31,0.391609843081665,0.6083153959151726,0.0,0.0,0.0
1879-04-30,0.391645219341867,0.6082537965262572,0.0,0.0,0.0
1879-05-31,0.38220756571658737,0.6176996079045739,0.0,0.0,0.0
1879-06-30,0.382203038485989,0.6176564919188441,0.0,0.0,0.0
1879-07-31,0.3916088456530141,0.6082769221559707,0.0,0.0,0.0
1879-08-31,0.39161267505292024,0.6082540234707475,0.0,0.0,0.0
1879-09-30,0.38224623399096136,0.6176762672684915,0.0,0.0,0.0
1879-10-31,0.3821715533832257,0.6176425145934981,0.0,0.0,0.0
1879-11-30,0.38221774800974406,0.6177122512749496,0.0,0.0,0.0
1879-12-31,0.3822223190768101,0.6176583393913735,0.0,0.0,0.0
1880-01-31,0.38217139544900747,0.6176646108797346,0.0,0.0,0.0
1880-02-29,0.3727883842317221,0.6270319424427173,0.0,0.0,0.0
1880-03-31,0.37281736036746754,0.6270804642713999,0.0,0.0,0.0
1880-04-30,0.38221403158429834,0.6176869727730454,0.0,0.0,0.0
1880-05-31,0.3821887199113211,0.6176392671183492,0.0,0.0,0.0
1880-06-30,0.3822154918865356,0.6177131205015425,0.0,0.0,0.0
1880-07-31,0.38225335318615095,0.6176562011171326,0.0,0.0,0.0
1880-08-31,0.3822295869325474,0.6176459954565858,0.0,0.0,0.0
1880-09-30,0.38224503463615983,0.6176894809333182,0.0,0.0,0.0
1880-10-31,0.3728649399365013,0.6270482607813377,0.0,0.0,0.0
1880-11-30,0.37289476081101885,0.6270743522520507,0.0,0.0,0.0
1880-12-31,0.37280320101757997,0.6270332578162329,0.0,0.0,0.0
1881-01-31,0.3728051424106133,0.6270227591836306,0.0,0.0,0.0
1881-02-28,0.37288342375080263,0.6270370846091663,0.0,0.0,0.0
1881-03-31,0.3728207724240849,0.6270659131334693,0.0,0.0,0.0
1881-04-30,0.3727950897019813,0.6270274317061811,0.0,0.0,0.0
1881-05-31,0.36349143101075354,0.6363935431929608,0.0,0.0,0.0
1881-06-30,0.3634579076529417,0.6364721918751829,0.0,0.0,0.0
1881-07-31,0.37287014634943516,0.6270400595486264,0.0,0.0,0.0
1881-08-31,0.37283783981170215,0.6270426515546793,0.0,0.0,0.0
1881-09-30,0.37287559647321905,0.6270758372173454,0.0,0.0,0.0
1881-10-31,0.3728196218577835,0.6270625159065267,0.0,0.0,0.0
1881-11-30,0.37278652146683405,0.6270077766270457,0.0,0.0,0.0
1881-12-31,0.372787747522769,0.6270410393863446,0.0,0.0,0.0
1882-01-31,0.3727903510488385,0.6270542219004079,0.0,0.0,0.0
1882-02-28,0.3728915910894474,0.6270396836932735,0.0,0.0,0.0
1882-03-31,0.37279939006568946,0.6270609297408439,0.0,0.0,0.0
1882-04-30,0.3728651468068985,0.6270109170164239,0.0,0.0,0.0
1882-05-31,0.3728452527292066,0.6270715654535837,0.0,0.0,0.0
1882-06-30,0.3728200819810697,0.627079522591404,0.0,0.0,0.0
1882-07-31,0.37280387330672976,0.6270921328519445,0.0,0.0,0.0
1882-08-31,0.37286125644289203,0.6270503492038406,0.0,0.0,0.0
1882-09-30,0.37280460538150206,0.627052612693906,0.0,0.0,0.0
1882-10-31,0.37285862882477677,0.6270454833300693,0.0,0.0,0.0
1882-11-30,0.37286641818799093,0.6270835572247044,0.0,0.0,0.0
1882-12-31,0.3727911957454952,0.6270789835261851,0.0,0.0,0.0
1883-01-31,0.37286855026235605,0.627093668451776,0.0,0.0,0.0
1883-02-28,0.3822034631289891,0.6176980269749316,0.0,0.0,0.0
1883-03-31,0.3728442500415619,0.6270297905066261,0.0,0.0,0.0
1883-04-30,0.3728142091038875,0.6270608170039036,0.0,0.0,0.0
1883-05-31,0.37281587903574276,0.6270498040370018,0.0,0.0,0.0
1883-06-30,0.37286516235875183,0.6270431542368521,0.0,0.0,0.0
1883-07-31,0.3728047541779853,0.6270782463122716,0.0,0.0,0.0
1883-08-31,0.38226953614554166,0.6176305200706361,0.0,0.0,0.0
1883-09-30,0.38225419611862527,0.6177125710554134,0.0,0.0,0.0
1883-10-31,0.3822470580682517,0.617641710718534,0.0,0.0,0.0
1883-11-30,0.3821826660815195,0.6176953186838585,0.0,0.0,0.0
1883-12-31,0.3822742537251985,0.6176411997903652,0.0,0.0,0.0
1884-01-31,0.3822128732792866,0.6176578643859444,0.0,0.0,0.0
1884-02-29,0.38221954775133665,0.6176847410614166,0.0,0.0,0.0
1884-03-31,0.38225610154446443,0.6176322295278183,0.0,0.0,0.0
1884-04-30,0.3821819509313953,0.6177184861480253,0.0,0.0,0.0
1884-05-31,0.39162706438115313,0.6083433723460764,0.0,0.0,0.0
1884-06-30,0.3915757504350887,0.6082600569838202,0.0,0.0,0.0
1884-07-31,0.3915753073206435,0.6082830495825243,0.0,0.0,0.0
1884-08-31,0.39157342814800505,0.6082830603913316,0.0,0.0,0.0
1884-09-30,0.3916441184132671,0.6083377184966594,0.0,0.0,0.0
1884-10-31,0.3915594863911114,0.6083127050115693,0.0,0.0,0.0
1884-11-30,0.3915837781683458,0.6083099448313234,0.0,0.0,0.0
1884-12-31,0.39158167278925,0.6083078704353189,0.0,0.0,0.0
1885-01-31,0.3729000673142572,0.6270140321052743,0.0,0.0,0.0
1885-02-28,0.3635007090423259,0.6363786619083409,0.0,0.0,0.0
1885-03-31,0.37287566958202617,0.6270452735873211,0.0,0.0,0.0
1885-04-30,0.3728512317560038,0.627059290326919,0.0,0.0,0.0
1885-05-31,0.3728876371850075,0.6270195200304326,0.0,0.0,0.0
1885-06-30,0.37283273550782753,0.6270544495207792,0.0,0.0,0.0
1885-07-31,0.37286688207403024,0.6270677929501004,0.0,0.0,0.0
1885-08-31,0.37288813502709045,0.6270275365091638,0.0,0.0,0.0
1885-09-30,0.37289433196153426,0.6270403400839876,0.0,0.0,0.0
1885-10-31,0.36351414336469484,0.6364534619744668,0.0,0.0,0.0
1885-11-30,0.363514550346277,0.6364074978748515,0.0,0.0,0.0
1885-12-31,0.3634648774798033,0.6364586770192274,0.0,0.0,0.0
1886-01-31,0.3634696603917098,0.636455192665528,0.0,0.0,0.0
1886-02-28,0.36342071548855276,0.6364300390353392,0.0,0.0,0.0
1886-03-31,0.3634174514357758,0.636380696508926,0.0,0.0,0.0
1886-04-30,0.363470897988027,0.6364368869481734,0.0,0.0,0.0
1886-05-31,0.36341710383302506,0.6363910113345066,0.0,0.0,0.0
1886-06-30,0.3634941784229845,0.6364024180985582,0.0,0.0,0.0
1886-07-31,0.36348784195897726,0.636466859441245,0.0,0.0,0.0
1886-08-31,0.3635047691789731,0.6364391301791508,0.0,0.0,0.0
1886-09-30,0.3634754624524507,0.6364631086313456,0.0,0.0,0.0
1886-10-31,0.3634838423199525,0.6364225890428359,0.0,0.0,0.0
1886-11-30,0.3635177020335363,0.6364546997454067,0.0,0.0,0.0
1886-12-31,0.36344175415483876,0.6363931999810182,0.0,0.0,0.0
1887-01-31,0.36346310948070387,0.6364176620586964,0.0,0.0,0.0
1887-02-28,0.36346376354819265,0.6364534466542486,0.0,0.0,0.0
1887-03-31,0.3634884202902849,0.6364254225119197,0.0,0.0,0.0
1887-04-30,0.3634288040441742,0.6364693097765155,0.0,0.0,0.0
1887-05-31,0.3634351042073115,0.6364666702495118,0.0,0.0,0.0
1887-06-30,0.3634157133798431,0.6364497039437951,0.0,0.0,0.0
1887-07-31,0.3728203497409325,0.6270375886236847,0.0,0.0,0.0
1887-08-31,0.37286600470553605,0.6270802475520336,0.0,0.0,0.0
1887-09-30,0.37285029693773863,0.6270546937158279,0.0,0.0,0.0
1887-10-31,0.37285823040200666,0.6270124709273969,0.0,0.0,0.0
1887-11-30,0.3729011208008089,0.6270316774935822,0.0,0.0,0.0
1887-12-31,0.37279747047964046,0.6270564155657705,0.0,0.0,0.0
1888-01-31,0.3822707808052047,0.6176720809998638,0.0,0.0,0.0
1888-02-29,0.3821667228854143,0.6176917318491559,0.0,0.0,0.0
1888-03-31,0.38223887168821075,0.6176901647338517,0.0,0.0,0.0
1888-04-30,0.38227587310047967,0.6176760668282898,0.0,0.0,0.0
1888-05-31,0.38217607209896687,0.6176884595957364,0.0,0.0,0.0
1888-06-30,0.3821898473964547,0.6176392275867818,0.0,0.0,0.0
1888-07-31,0.38227000179275455,0.6176833524200619,0.0,0.0,0.0
1888-08-31,0.3822778022296844,0.6176298745389206,0.0,0.0,0.0
1888-09-30,0.3822011077402517,0.6177009559806673,0.0,0.0,0.0
1888-10-31,0.3821915030123126,0.6177089477590162,0.0,0.0,0.0
1888-11-30,0.391568223851261,0.6082971211409298,0.0,0.0,0.0
1888-12-31,0.3822007412703717,0.6177173290485117,0.0,0.0,0.0
1889-01-31,0.39158303691166235,0.6082939569565365,0.0,0.0,0.0
1889-02-28,0.38222185170761147,0.6176440377892704,0.0,0.0,0.0
1889-03-31,0.39154968739747975,0.6082590251806035,0.0,0.0,0.0
1889-04-30,0.3916436745958462,0.608262076038041,0.0,0.0,0.0
1889-05-31,0.3822562080351842,0.6176583469020732,0.0,0.0,0.0
1889-06-30,0.3822437594574059,0.6177167873231638,0.0,0.0,0.0
1889-07-31,0.382263950739285,0.6176895736301901,0.0,0.0,0.0
1889-08-31,0.3822173167684572,0.6176701798400129,0.0,0.0,0.0
1889-09-30,0.3822031311969681,0.617665437936729,0.0,0.0,0.0
1889-10-31,0.3822087465224518,0.6176846402135836,0.0,0.0,0.0
1889-11-30,0.3822571684439469,0.6177170073915672,0.0,0.0,0.0
1889-12-31,0.38224278923239186,0.6177142443760902,0.0,0.0,0.0
1890-01-31,0.3822110997795298,0.617683927135787,0.0,0.0,0.0
1890-02-28,0.3822654683376072,0.6176444843587816,0.0,0.0,0.0
1890-03-31,0.38226464758729706,0.6176700119340913,0.0,0.0,0.0
1890-04-30,0.38225632272837645,0.6176571259406434,0.0,0.0,0.0
1890-05-31,0.3822243587411105,0.6176758117077932,0.0,0.0,0.0
1890-06-30,0.3728425424430028,0.6270685008362542,0.0,0.0,0.0
1890-07-31,0.37284807870849274,0.6270959242949911,0.0,0.0,0.0
1890-08-31,0.3728707625062893,0.6270467953451019,0.0,0.0,0.0
1890-09-30,0.37281934382276016,0.6270910184730187,0.0,0.0,0.0
1890-10-31,0.38220189233450724,0.6177071055868014,0.0,0.0,0.0
1890-11-30,0.3821810500623754,0.6176474006952238,0.0,0.0,0.0
1890-12-31,0.3822779055634805,0.6176327450009663,0.0,0.0,0.0
1891-01-31,0.3821740537532086,0.6176920304990247,0.0,0.0,0.0
1891-02-28,0.38218589878826303,0.6176730451882709,0.0,0.0,0.0
1891-03-31,0.3822746186821585,0.6177111367008423,0.0,0.0,0.0
1891-04-30,0.3822010503316671,0.6176745980480283,0.0,0.0,0.0
1891-05-31,0.3822297595121637,0.6176891946364869,0.0,0.0,0.0
1891-06-30,0.3822254937412968,0.6176553937899103,0.0,0.0,0.0
1891-07-31,0.3822693481671725,0.617659073066331,0.0,0.0,0.0
1891-08-31,0.382204303051676,0.6176704696878023,0.0,0.0,0.0
1891-09-30,0.37280154157698786,0.6270946200168844,0.0,0.0,0.0
1891-10-31,0.37283667824237626,0.6270839025880135,0.0,0.0,0.0
1891-11-30,0.37279981708897886,0.6270661237289384,0.0,0.0,0.0
1891-12-31,0.37280767523018704,0.6270418342031397,0.0,0.0,0.0
1892-01-31,0.372852171619244,0.6270538662627009,0.0,0.0,0.0
1892-02-29,0.3728830845525134,0.6270899460038227,0.0,0.0,0.0
1892-03-31,0.3728929897231832,0.62703479014888,0.0,0.0,0.0
1892-04-30,0.37280439540817023,0.6270541888161643,0.0,0.0,0.0
1892-05-31,0.3727986254289244,0.6270099144475674,0.0,0.0,0.0
1892-06-30,0.36343668185909317,0.6364406188808084,0.0,0.0,0.0
1892-07-31,0.36351323764596233,0.6364419658346501,0.0,0.0,0.0
1892-08-31,0.36349449048962734,0.6364248281504461,0.0,0.0,0.0
1892-09-30,0.3634023079465136,0.6364495518693463,0.0,0.0,0.0
1892-10-31,0.3635212565763847,0.6364101522201807,0.0,0.0,0.0
1892-11-30,0.3634324446965512,0.6363904756944982,0.0,0.0,0.0
1892-12-31,0.3634431356403148,0.6364621060589908,0.0,0.0,0.0
1893-01-31,0.36348175505884106,0.6364727403046994,0.0,0.0,0.0
1893-02-28,0.3634207257484189,0.6364356777588571,0.0,0.0,0.0
1893-03-31,0.3634112474388921,0.6364077302301948,0.0,0.0,0.0
1893-04-30,0.37282111191316253,0.6270551262745578,0.0,0.0,0.0
1893-05-31,0.37281601620424554,0.6270367104132418,0.0,0.0,0.0
1893-06-30,0.372815736614897,0.6270513898795866,0.0,0.0,0.0
1893-07-31,0.3822756405362202,0.617694070071305,0.0,0.0,0.0
1893-08-31,0.38218214418658486,0.6176409881155984,0.0,0.0,0.0
1893-09-30,0.3822669572261732,0.6177001570266956,0.0,0.0,0.0
1893-10-31,0.3822137397253955,0.6176817799502575,0.0,0.0,0.0
1893-11-30,0.38226068402380947,0.6176580805848421,0.0,0.0,0.0
1893-12-31,0.3822628605283732,0.6176728438531205,0.0,0.0,0.0
1894-01-31,0.38226874466855004,0.6176320122325629,0.0,0.0,0.0
1894-02-28,0.3822131966661679,0.6176671003670936,0.0,0.0,0.0
1894-03-31,0.3728549809553959,0.627074824659995,0.0,0.0,0.0
1894-04-30,0.3728131159462152,0.6270324414526414,0.0,0.0,0.0
1894-05-31,0.37284566825777604,0.6270363677422583,0.0,0.0,0.0
1894-06-30,0.37288620968179764,0.6270819586387041,0.0,0.0,0.0
1894-07-31,0.3728434958379083,0.627057088646901,0.0,0.0,0.0
1894-08-31,0.3728308072882242,0.6270538690678215,0.0,0.0,0.0
1894-09-30,0.3728988517552687,0.62708889226971,0.0,0.0,0.0
1894-10-31,0.37283880399122193,0.6270077615880327,0.0,0.0,0.0
1894-11-30,0.3728326111180437,0.627004469359832,0.0,0.0,0.0
1894-12-31,0.3728448309657292,0.6270546887062766,0.0,0.0,0.0
1895-01-31,0.3728364230045253,0.6270616996926819,0.0,0.0,0.0
1895-02-28,0.3728838706117379,0.627077501536714,0.0,0.0,0.0
1895-03-31,0.372856173585374,0.6270463467697986,0.0,0.0,0.0
1895-04-30,0.37286954755163476,0.6270774936316805,0.0,0.0,0.0
1895-05-31,0.37288041144872514,0.6270590329733845,0.0,0.0,0.0
1895-06-30,0.37279865338057705,0.6270415075248525,0.0,0.0,0.0
1895-07-31,0.37281932991072503,0.6270418954647511,0.0,0.0,0.0
1895-08-31,0.3728731974512049,0.6270103002175533,0.0,0.0,0.0
1895-09-30,0.3728055681912314,0.6270299247444715,0.0,0.0,0.0
1895-10-31,0.3728983325736963,0.6270607001601203,0.0,0.0,0.0
1895-11-30,0.37279425000853794,0.6270898580163943,0.0,0.0,0.0
1895-12-31,0.37287023817448683,0.6270240056506285,0.0,0.0,0.0
1896-01-31,0.37289308326790477,0.6270963829329601,0.0,0.0,0.0
1896-02-29,0.372890647561696,0.6270889695152018,0.0,0.0,0.0
1896-03-31,0.372803525873451,0.6270866141856196,0.0,0.0,0.0
