,Equities,Gov Bonds,Alternatives,HY Credit,Gold
1875-01-31,0.0,0.0,0.0,0.0,0.0
1875-02-28,0.45614849428507603,0.5437478660603692,0.0,0.0,0.0
1875-03-31,0.4373631778366194,0.5625641688693823,0.0,0.0,0.0
1875-04-30,0.43733658298728545,0.5625891531520613,0.0,0.0,0.0
1875-05-31,0.4373218038271748,0.5625629634088499,0.0,0.0,0.0
1875-06-30,0.437379975226876,0.5625124951149088,0.0,0.0,0.0
1875-07-31,0.43734744670976655,0.5625441470044242,0.0,0.0,0.0
1875-08-31,0.43739157558267205,0.5625172260485573,0.0,0.0,0.0
1875-09-30,0.43739772342592,0.5625009827167433,0.0,0.0,0.0
1875-10-31,0.43739359527465,0.562496894635295,0.0,0.0,0.0
1875-11-30,0.4185732659907389,0.5813157993110206,0.0,0.0,0.0
1875-12-31,0.4185972350603565,0.5812961411065855,0.0,0.0,0.0
1876-01-31,0.4185569985321717,0.5813132899107853,0.0,0.0,0.0
1876-02-29,0.41862665265571847,0.5813086953102451,0.0,0.0,0.0
1876-03-31,0.4185936111986293,0.5813096438155156,0.0,0.0,0.0
1876-04-30,0.4186258270216332,0.5813494555373575,0.0,0.0,0.0
1876-05-31,0.4186401526307734,0.5812619032734397,0.0,0.0,0.0
1876-06-30,0.41859811760250015,0.5813063226628011,0.0,0.0,0.0
1876-07-31,0.4186196067286733,0.581327619794027,0.0,0.0,0.0
1876-08-31,0.4185827869717132,0.581329725410531,0.0,0.0,0.0
1876-09-30,0.41864110854211595,0.5813111343875823,0.0,0.0,0.0
1876-10-31,0.41864141626884,0.5813118755567774,0.0,0.0,0.0
1876-11-30,0.41859358314475187,0.5813042558155643,0.0,0.0,0.0
1876-12-31,0.41858579412928915,0.5813416812706317,0.0,0.0,0.0
1877-01-31,0.4185773086286014,0.5813221096011286,0.0,0.0,0.0
1877-02-28,0.4186290395923382,0.5813314811852439,0.0,0.0,0.0
1877-03-31,0.4373572565136231,0.5624950191048455,0.0,0.0,0.0
1877-04-30,0.4373378394371323,0.5624981767194454,0.0,0.0,0.0
1877-05-31,0.4373248302333093,0.5625379620101627,0.0,0.0,0.0
1877-06-30,0.43733763425238587,0.5625051693337063,0.0,0.0,0.0
1877-07-31,0.41856909918727647,0.581326819918681,0.0,0.0,0.0
1877-08-31,0.41860717681771986,0.5812516906658926,0.0,0.0,0.0
1877-09-30,0.39985976125613887,0.6000845700173708,0.0,0.0,0.0
1877-10-31,0.39980702108725696,0.6000414517372105,0.0,0.0,0.0
1877-11-30,0.3998373996959602,0.6000272179050603,0.0,0.0,0.0
1877-12-31,0.3998746573463226,0.6000123252492641,0.0,0.0,0.0
1878-01-31,0.39987144164761523,0.6001048908356029,0.0,0.0,0.0
1878-02-28,0.39980584457276636,0.6000034609255211,0.0,0.0,0.0
1878-03-31,0.3998563090694932,0.5999992992876859,0.0,0.0,0.0
1878-04-30,0.39982633411156066,0.600101423499437,0.0,0.0,0.0
1878-05-31,0.38107047935555116,0.6188446346346139,0.0,0.0,0.0
1878-06-30,0.38109901580466626,0.6188380794320829,0.0,0.0,0.0
1878-07-31,0.38112476950013907,0.618771244832941,0.0,0.0,0.0
1878-08-31,0.3810506968696408,0.6187587591302358,0.0,0.0,0.0
1878-09-30,0.3811253210800274,0.6188338519097492,0.0,0.0,0.0
1878-10-31,0.38107572997119715,0.6188447615325928,0.0,0.0,0.0
1878-11-30,0.381119025350388,0.6188533234204533,0.0,0.0,0.0
1878-12-31,0.381101693384586,0.618859033068517,0.0,0.0,0.0
1879-01-31,0.3811034049125469,0.6187647898000421,0.0,0.0,0.0
1879-02-28,0.3811395042251565,0.6188248031668231,0.0,0.0,0.0
1879-03-31,0.38112887558466413,0.6188591958234668,0.0,0.0,0.0
1879-04-30,0.381123031928498,0.6188370433262829,0.0,0.0,0.0
1879-05-31,0.36229855891974244,0.6375384321343995,0.0,0.0,0.0
1879-06-30,0.36231092146621785,0.6375797442591712,0.0,0.0,0.0
1879-07-31,0.36237194436748366,0.6375861541171477,0.0,0.0,0.0
1879-08-31,0.3623142177745316,0.6375259010591137,0.0,0.0,0.0
1879-09-30,0.36230224347577483,0.6375276551030691,0.0,0.0,0.0
1879-10-31,0.3623713868360936,0.6375537080988025,0.0,0.0,0.0
1879-11-30,0.36228077430524697,0.6376087590500019,0.0,0.0,0.0
1879-12-31,0.36232792816467235,0.6376074739274632,0.0,0.0,0.0
1880-01-31,0.34357596587759276,0.6563439235521459,0.0,0.0,0.0
1880-02-29,0.3435243937562313,0.6563232182446438,0.0,0.0,0.0
1880-03-31,0.3435427270039571,0.656312990969757,0.0,0.0,0.0
1880-04-30,0.34358945664314505,0.6563519981612238,0.0,0.0,0.0
1880-05-31,0.3622778809891832,0.6375673482642734,0.0,0.0,0.0
1880-06-30,0.3435414501514212,0.6563292212941821,0.0,0.0,0.0
1880-07-31,0.34360467520489246,0.6563308375636411,0.0,0.0,0.0
1880-08-31,0.34354225976732616,0.6563228414453709,0.0,0.0,0.0
1880-09-30,0.34360462033833544,0.6563403975320776,0.0,0.0,0.0
1880-10-31,0.34352349652036135,0.6562955256891096,0.0,0.0,0.0
