,Equities,Gov Bonds
1875-01-31,0.0,0.0
1875-02-28,0.3999372749672027,0.5999799533600638
1875-03-31,0.3999551705069142,0.5999675721563925
1875-04-30,0.39994743217911977,0.5999737997233999
1875-05-31,0.39991633223988204,0.599970802056459
1875-06-30,0.3999897431394037,0.5999191818421002
1875-07-31,0.3999701584156202,0.5999323884881446
1875-08-31,0.39994745653214697,0.5999721982110123
1875-09-30,0.39997584592808083,0.5999400844282741
1875-10-31,0.3999403046305104,0.599975017364042
1875-11-30,0.3999937416910374,0.5999177626127556
1875-12-31,0.39994172698465114,0.5999794878120621
1876-01-31,0.3999334586259354,0.5999607859306525
1876-02-29,0.39996331749490116,0.5999956434092495
1876-03-31,0.3999469476353141,0.5999798086044644
1876-04-30,0.39999657142371503,0.599904358355492
1876-05-31,0.3999965325970092,0.5999445507934702
1876-06-30,0.3999680307388873,0.5999753523928373
1876-07-31,0.39994487701933484,0.5999457809854634
1876-08-31,0.3999887626460633,0.599973739625774
1876-09-30,0.3999096225932038,0.5999307738805892
1876-10-31,0.3999893440408859,0.5999428611047153
1876-11-30,0.39993918908424153,0.599937493951526
1876-12-31,0.39991790457752135,0.5999882183053467
1877-01-31,0.39993391940006007,0.5999443387276603
1877-02-28,0.39992201535937794,0.5999510518612667
1877-03-31,0.3999274095192789,0.5999944579046704
1877-04-30,0.3999812236929546,0.5999522856703304
1877-05-31,0.39996293760214985,0.5999966563710074
1877-06-30,0.39995327766005956,0.5999183003556385
1877-07-31,0.39998671643845285,0.5999238598443695
1877-08-31,0.39993829115589624,0.5999350242384413
1877-09-30,0.3999908695396377,0.5999765579608964
1877-10-31,0.399979179808553,0.5998927472397068
1877-11-30,0.39997844534247395,0.5999095067307448
1877-12-31,0.3999276273820445,0.5998938971732382
1878-01-31,0.3999267451900369,0.5999837789989442
1878-02-28,0.39992154128734864,0.5999105007910823
1878-03-31,0.3999988075774607,0.599989913078412
1878-04-30,0.3999495049335769,0.5999100113895462
1878-05-31,0.39992847817455834,0.5998958763980273
1878-06-30,0.39991231628118207,0.5999664068983238
1878-07-31,0.39998413824704643,0.5999744915618535
1878-08-31,0.3999204785159328,0.5999373351701964
1878-09-30,0.3999334824574796,0.5999910434134931
1878-10-31,0.39996981068581705,0.5999033894159596
1878-11-30,0.3999671688493545,0.5999577509467573
1878-12-31,0.3999125416257187,0.5998936312771789
1879-01-31,0.3999829385331531,0.5999640041214135
1879-02-28,0.3999269960196321,0.5999252013437464
1879-03-31,0.3999496395713946,0.5999183427222501
1879-04-30,0.39992082136258156,0.5999287682169407
1879-05-31,0.3999624686233425,0.5999163551382816
1879-06-30,0.39992506681664297,0.5999082009925915
1879-07-31,0.39994151042461906,0.5999568794841292
1879-08-31,0.39990068161124226,0.5999760925910951
1879-09-30,0.39991649731695394,0.5999398896985086
1879-10-31,0.39989633820338716,0.5999888903611549
1879-11-30,0.39989110342464473,0.5999541141413214
1879-12-31,0.39997569043456743,0.599934138428771
1880-01-31,0.3999987620509771,0.5999360644968244
1880-02-29,0.39989527819463694,0.5999682596450362
1880-03-31,0.3999069474807403,0.5999168851469989
1880-04-30,0.3999975355088515,0.5999959672911064
1880-05-31,0.3999542264201531,0.5999283910871739
1880-06-30,0.39989322704575536,0.5999809145419884
1880-07-31,0.39995137757636673,0.5999672326720703
1880-08-31,0.3999876533607956,0.5999711402341147
1880-09-30,0.39992065543391225,0.5999832224968228
1880-10-31,0.3999163559070622,0.599956257389148
1880-11-30,0.3999606121415003,0.5999160397332965
1880-12-31,0.39995466987687905,0.5999447289524358
1881-01-31,0.39989415981266424,0.5999908793459824
1881-02-28,0.39995054250030515,0.5999379582641651
1881-03-31,0.3999671847120235,0.5999237911844836
1881-04-30,0.39993606983796404,0.5999251269315702
1881-05-31,0.3999456279516943,0.5999899908366161
1881-06-30,0.39993553431997225,0.5999189473049308
1881-07-31,0.3999612526180126,0.5999735549537886
1881-08-31,0.3998948635827707,0.5999562047628015
1881-09-30,0.3998874054276401,0.5999454991246758
1881-10-31,0.3999238214200863,0.5999612841025517
1881-11-30,0.39996084443070096,0.5999588688845527
1881-12-31,0.39999986069631904,0.5999491520711275
1882-01-31,0.3998985678210245,0.5999758218119368
1882-02-28,0.39996677786737356,0.5999274428029292
1882-03-31,0.39998806615809884,0.5999756754379736
1882-04-30,0.39996939711243334,0.599916521542268
1882-05-31,0.3999871298457459,0.5999608697816843
1882-06-30,0.39998128048572534,0.5999496978859317
1882-07-31,0.3999377645738956,0.5999686266362264
1882-08-31,0.39992057237506523,0.5999963920788811
1882-09-30,0.3999806490947728,0.5999714033989785
1882-10-31,0.3999471949806589,0.5999924648374063
1882-11-30,0.39996342396174933,0.5999177298454399
1882-12-31,0.3999866587962244,0.5999330904968111
1883-01-31,0.39990299909820204,0.5999639312277204
1883-02-28,0.3999102365422915,0.5999608856738606
1883-03-31,0.3999576401342843,0.5999209266450461
1883-04-30,0.3999257187446554,0.5999894830406574
1883-05-31,0.3999424263038078,0.5999899688302066
1883-06-30,0.39992596223489846,0.5999302371284001
1883-07-31,0.3999259867503428,0.599930821205139
1883-08-31,0.3999974029251057,0.5999454831793912
1883-09-30,0.39994496858954487,0.599950067792727
1883-10-31,0.39998437551014243,0.5999621799907121
1883-11-30,0.39999937604012176,0.5999359131730342
1883-12-31,0.399975995256386,0.5999159640717452
1884-01-31,0.39991813577981367,0.5999419762273962
1884-02-29,0.39996193522911216,0.599915950648654
1884-03-31,0.399891246536004,0.5999549560145163
1884-04-30,0.3999320429461819,0.5999612029991018
