,Equities,Gov Bonds,Alternatives,HY Credit,Gold
1878-11-30,0.4478670860892227,0.5520168462469768,0.0,0.0,0.0
1878-12-31,0.4384739949203462,0.5614028833580048,0.0,0.0,0.0
1879-01-31,0.43852988418865496,0.5614012873239397,0.0,0.0,0.0
1879-02-28,0.43852175205592386,0.5614253962402793,0.0,0.0,0.0
1879-03-31,0.43849563770880107,0.5613626557855335,0.0,0.0,0.0
1879-04-30,0.438522252809148,0.5614223180969289,0.0,0.0,0.0
1879-05-31,0.42911251973683534,0.5707420364474911,0.0,0.0,0.0
1879-06-30,0.42912602736359634,0.5707853906414393,0.0,0.0,0.0
1879-07-31,0.4291305855776611,0.5707437582885205,0.0,0.0,0.0
1879-08-31,0.4384595870888383,0.5614314935045175,0.0,0.0,0.0
1879-09-30,0.42908305080527614,0.570753957012676,0.0,0.0,0.0
1879-10-31,0.42914756156800576,0.5707716714771738,0.0,0.0,0.0
1879-11-30,0.42906324556118797,0.5707555626480171,0.0,0.0,0.0
1879-12-31,0.42911671837122967,0.5707666963426818,0.0,0.0,0.0
1880-01-31,0.42908419769131817,0.5707793126568069,0.0,0.0,0.0
1880-02-29,0.4197706358960118,0.5801692118214644,0.0,0.0,0.0
1880-03-31,0.4197165538515109,0.5801590151920092,0.0,0.0,0.0
1880-04-30,0.4197144648003051,0.5801448557697902,0.0,0.0,0.0
1880-05-31,0.4291040993171386,0.5708026159080996,0.0,0.0,0.0
1880-06-30,0.4290622695192808,0.5708358733641271,0.0,0.0,0.0
1880-07-31,0.42912490633084727,0.5707845738868341,0.0,0.0,0.0
1880-08-31,0.4291010788986404,0.570809734821882,0.0,0.0,0.0
1880-09-30,0.4290643348504878,0.5707916475781837,0.0,0.0,0.0
1880-10-31,0.4196716174540056,0.580164004599345,0.0,0.0,0.0
1880-11-30,0.41973399489164925,0.5801715517351343,0.0,0.0,0.0
1880-12-31,0.419720142536275,0.5801783539963808,0.0,0.0,0.0
1881-01-31,0.41034793547851695,0.5895318000203335,0.0,0.0,0.0
1881-02-28,0.41975396654354347,0.5801274609696627,0.0,0.0,0.0
1881-03-31,0.41029211889901696,0.5895184274965604,0.0,0.0,0.0
1881-04-30,0.4103351333777317,0.5895683135141052,0.0,0.0,0.0
1881-05-31,0.41031223597942373,0.589540298597969,0.0,0.0,0.0
