,Equities,Gov Bonds,Alternatives,HY Credit,Gold
1875-01-31,0.0,0.0,0.0,0.0,0.0
1875-02-28,0.4373777819096282,0.5625260995929314,0.0,0.0,0.0
1875-03-31,0.4185563825504566,0.581276478443072,0.0,0.0,0.0
1875-04-30,0.41864056287263735,0.5812942291737311,0.0,0.0,0.0
1875-05-31,0.4186064419349383,0.5812909985384886,0.0,0.0,0.0
1875-06-30,0.418560841650431,0.581253466011548,0.0,0.0,0.0
1875-07-31,0.4185894307656311,0.5813226137710985,0.0,0.0,0.0
1875-08-31,0.41860443433003,0.5813247030785963,0.0,0.0,0.0
1875-09-30,0.41856489720713685,0.5812558863312696,0.0,0.0,0.0
1875-10-31,0.4185896769785234,0.5813277854367616,0.0,0.0,0.0
1875-11-30,0.4186278275831559,0.5812907291507722,0.0,0.0,0.0
1875-12-31,0.4185519493965424,0.5812720341672603,0.0,0.0,0.0
1876-01-31,0.41861464996821324,0.581287184431714,0.0,0.0,0.0
1876-02-29,0.41858546126352947,0.5812804582114945,0.0,0.0,0.0
1876-03-31,0.3998048615811264,0.600020005970771,0.0,0.0,0.0
1876-04-30,0.41859631019732946,0.5812536013174139,0.0,0.0,0.0
1876-05-31,0.41860239173622593,0.5812777980866043,0.0,0.0,0.0
1876-06-30,0.41855910190488266,0.5813235177091515,0.0,0.0,0.0
1876-07-31,0.4185755674223601,0.5813498570283483,0.0,0.0,0.0
1876-08-31,0.41862427903429944,0.5812520635668528,0.0,0.0,0.0
1876-09-30,0.4185760012494345,0.5812478752148682,0.0,0.0,0.0
1876-10-31,0.41857732433137035,0.5812471181524993,0.0,0.0,0.0
1876-11-30,0.4186205976148598,0.5813481083222493,0.0,0.0,0.0
1876-12-31,0.41861462009014994,0.5812744647202459,0.0,0.0,0.0
1877-01-31,0.4186033681418895,0.5812578358185381,0.0,0.0,0.0
1877-02-28,0.4186411056140839,0.5812799800403958,0.0,0.0,0.0
1877-03-31,0.4186018853406774,0.5813410047659427,0.0,0.0,0.0
1877-04-30,0.4186170896075306,0.5812654478352455,0.0,0.0,0.0
1877-05-31,0.418601441062503,0.5813075710706589,0.0,0.0,0.0
1877-06-30,0.41860121207844964,0.5812535431276481,0.0,0.0,0.0
1877-07-31,0.41862823170572006,0.5813050938757898,0.0,0.0,0.0
1877-08-31,0.41864591079979846,0.5812808132464768,0.0,0.0,0.0
1877-09-30,0.3998543662240661,0.6000909765253126,0.0,0.0,0.0
1877-10-31,0.3998229765119122,0.6000268185898088,0.0,0.0,0.0
1877-11-30,0.3998372218548578,0.600028663488704,0.0,0.0,0.0
1877-12-31,0.39987477725749304,0.6000133986474954,0.0,0.0,0.0
1878-01-31,0.3998727516563814,0.6001044735108806,0.0,0.0,0.0
1878-02-28,0.3998807366339875,0.6000180432034488,0.0,0.0,0.0
1878-03-31,0.39985642929880616,0.5999987350986483,0.0,0.0,0.0
1878-04-30,0.39986348673648403,0.6000635927220563,0.0,0.0,0.0
1878-05-31,0.39984599438760837,0.6000450720729434,0.0,0.0,0.0
1878-06-30,0.3998115167338142,0.6000250677994171,0.0,0.0,0.0
1878-07-31,0.3998654771577757,0.6000515415931359,0.0,0.0,0.0
1878-08-31,0.39981225010237764,0.6000037082167258,0.0,0.0,0.0
1878-09-30,0.3998091121496669,0.600074256825891,0.0,0.0,0.0
1878-10-31,0.39984650957400736,0.6000920852864003,0.0,0.0,0.0
1878-11-30,0.39984943062512085,0.6000334156379863,0.0,0.0,0.0
1878-12-31,0.381121607280355,0.6187871463319758,0.0,0.0,0.0
1879-01-31,0.3810711252150479,0.6187560139709489,0.0,0.0,0.0
1879-02-28,0.38113942246187693,0.618784152605587,0.0,0.0,0.0
1879-03-31,0.3811187550056701,0.6188283583291982,0.0,0.0,0.0
1879-04-30,0.381124965805307,0.6187953382958454,0.0,0.0,0.0
1879-05-31,0.38110378732566846,0.6188406323548243,0.0,0.0,0.0
1879-06-30,0.38109405040813005,0.6188025206780932,0.0,0.0,0.0
1879-07-31,0.3810865274386821,0.6187742234136606,0.0,0.0,0.0
1879-08-31,0.3810409469196867,0.6188007199284901,0.0,0.0,0.0
1879-09-30,0.3810470715812919,0.6187797076268204,0.0,0.0,0.0
1879-10-31,0.38103438709930315,0.6187994574199868,0.0,0.0,0.0
1879-11-30,0.38105314490733744,0.6188018061529428,0.0,0.0,0.0
1879-12-31,0.3810610806741359,0.6188395145537015,0.0,0.0,0.0
1880-01-31,0.38110868452836544,0.6187698274659057,0.0,0.0,0.0
1880-02-29,0.3622919153977073,0.6376010433641748,0.0,0.0,0.0
1880-03-31,0.36228359904288127,0.637592852933872,0.0,0.0,0.0
1880-04-30,0.38112192976444415,0.6188203490002407,0.0,0.0,0.0
1880-05-31,0.3810363665519822,0.6188221573103878,0.0,0.0,0.0
1880-06-30,0.38106122029143485,0.6188006690497012,0.0,0.0,0.0
1880-07-31,0.3810767507683077,0.6187675414383969,0.0,0.0,0.0
1880-08-31,0.38103715501815616,0.6187745226390604,0.0,0.0,0.0
1880-09-30,0.3810496496878355,0.6188209128656973,0.0,0.0,0.0
1880-10-31,0.36231163727584476,0.6375257648831391,0.0,0.0,0.0
1880-11-30,0.3623676513373586,0.6375552115041525,0.0,0.0,0.0
1880-12-31,0.36232096805767056,0.637591027570991,0.0,0.0,0.0
1881-01-31,0.36236681139108934,0.6376082575904676,0.0,0.0,0.0
1881-02-28,0.36232732915007076,0.6375255365131284,0.0,0.0,0.0
1881-03-31,0.3622820012618388,0.6375382138868535,0.0,0.0,0.0
1881-04-30,0.3623045865018869,0.6375419279561967,0.0,0.0,0.0
1881-05-31,0.362356942849289,0.6375881235017211,0.0,0.0,0.0
1881-06-30,0.36231190250235257,0.6375894409043456,0.0,0.0,0.0
1881-07-31,0.3623384363503885,0.6375724536234741,0.0,0.0,0.0
1881-08-31,0.36236524243984053,0.6376056694767737,0.0,0.0,0.0
1881-09-30,0.3622955562865044,0.6375313097049471,0.0,0.0,0.0
1881-10-31,0.3623739290554369,0.6375958734751045,0.0,0.0,0.0
1881-11-30,0.36235960807267925,0.6376112462958226,0.0,0.0,0.0
1881-12-31,0.3623581590379568,0.6375271955740737,0.0,0.0,0.0
1882-01-31,0.36228005565785687,0.6375939212436176,0.0,0.0,0.0
1882-02-28,0.36231926298414585,0.6375237534066818,0.0,0.0,0.0
1882-03-31,0.3622723672674933,0.6375935206226913,0.0,0.0,0.0
1882-04-30,0.3623693638877039,0.637605498820355,0.0,0.0,0.0
1882-05-31,0.3623781985308059,0.6375441659610787,0.0,0.0,0.0
1882-06-30,0.3623458911885897,0.6375592482501085,0.0,0.0,0.0
1882-07-31,0.362282715159022,0.6375550481061624,0.0,0.0,0.0
1882-08-31,0.36235412676612766,0.6375316681706124,0.0,0.0,0.0
1882-09-30,0.3623770258646042,0.6375777367886866,0.0,0.0,0.0
1882-10-31,0.3623866207313728,0.6375851659212575,0.0,0.0,0.0
1882-11-30,0.36228583621803173,0.6375882031163881,0.0,0.0,0.0
1882-12-31,0.362336388450625,0.6375767329829716,0.0,0.0,0.0
1883-01-31,0.3623861530254402,0.6375274572735292,0.0,0.0,0.0
1883-02-28,0.3810514290083792,0.6188528001514972,0.0,0.0,0.0
1883-03-31,0.3622913245969082,0.6375508326011652,0.0,0.0,0.0
1883-04-30,0.3622926829513934,0.6375784920733139,0.0,0.0,0.0
1883-05-31,0.3623326589499833,0.6375291504821804,0.0,0.0,0.0
1883-06-30,0.3623623691606967,0.6375421708841243,0.0,0.0,0.0
1883-07-31,0.36232329707466737,0.6375558675753928,0.0,0.0,0.0
1883-08-31,0.38109092145384915,0.6187745969080237,0.0,0.0,0.0
1883-09-30,0.3810693236243717,0.6187695755174105,0.0,0.0,0.0
1883-10-31,0.3810771655659062,0.6187780721374637,0.0,0.0,0.0
1883-11-30,0.3811198089801178,0.6188384689064649,0.0,0.0,0.0
1883-12-31,0.3811172134275901,0.6187671214100522,0.0,0.0,0.0
1884-01-31,0.38106433743889706,0.6187748241139035,0.0,0.0,0.0
1884-02-29,0.3810590046289937,0.6188141719923966,0.0,0.0,0.0
1884-03-31,0.3810952993909241,0.6188572452569815,0.0,0.0,0.0
1884-04-30,0.3810381963656514,0.6188305014831077,0.0,0.0,0.0
1884-05-31,0.3811138898081379,0.6188286425443483,0.0,0.0,0.0
1884-06-30,0.38113411466546787,0.6187733588959786,0.0,0.0,0.0
1884-07-31,0.38104155343714163,0.6187855066240344,0.0,0.0,0.0
1884-08-31,0.38109195131403695,0.6188492574024311,0.0,0.0,0.0
1884-09-30,0.38105398285667663,0.6188051687767935,0.0,0.0,0.0
1884-10-31,0.38106287371627023,0.6187865770162067,0.0,0.0,0.0
1884-11-30,0.3810461401962685,0.6188262678587114,0.0,0.0,0.0
1884-12-31,0.38104708256105857,0.6188212164906668,0.0,0.0,0.0
1885-01-31,0.36229883629086584,0.6375965310466146,0.0,0.0,0.0
1885-02-28,0.36232552686627345,0.6375565045616639,0.0,0.0,0.0
1885-03-31,0.36238028669326666,0.6376008963958186,0.0,0.0,0.0
1885-04-30,0.3623427895049543,0.6375273409911026,0.0,0.0,0.0
1885-05-31,0.362308308946957,0.6375585967369982,0.0,0.0,0.0
1885-06-30,0.3623786856545044,0.637568838408221,0.0,0.0,0.0
1885-07-31,0.3623056703482257,0.6375883822039211,0.0,0.0,0.0
1885-08-31,0.3623836017903231,0.6376071814289063,0.0,0.0,0.0
1885-09-30,0.3623260133839177,0.6375783339887531,0.0,0.0,0.0
1885-10-31,0.36237972013385333,0.6375301990946863,0.0,0.0,0.0
1885-11-30,0.36233917992609915,0.6375265919309588,0.0,0.0,0.0
1885-12-31,0.36229812116847127,0.6375693897278909,0.0,0.0,0.0
1886-01-31,0.3622996691047515,0.6375691638604429,0.0,0.0,0.0
1886-02-28,0.3623632662094187,0.6375458869941389,0.0,0.0,0.0
1886-03-31,0.3623766844104366,0.6375751197271792,0.0,0.0,0.0
1886-04-30,0.3623252596547911,0.6375306091093448,0.0,0.0,0.0
1886-05-31,0.3622824892411093,0.6375695445802071,0.0,0.0,0.0
1886-06-30,0.3623341038470311,0.6376055379125484,0.0,0.0,0.0
1886-07-31,0.3623162594666786,0.6375870321750359,0.0,0.0,0.0
1886-08-31,0.3623270009981609,0.6375657057569875,0.0,0.0,0.0
1886-09-30,0.3622866986564577,0.6376015877235655,0.0,0.0,0.0
1886-10-31,0.36228304722794125,0.6375738713082741,0.0,0.0,0.0
1886-11-30,0.36229872732545493,0.6375329482926462,0.0,0.0,0.0
1886-12-31,0.3623610202681962,0.6375418805413408,0.0,0.0,0.0
1887-01-31,0.36238316332568804,0.6375661034603324,0.0,0.0,0.0
1887-02-28,0.36227685850570945,0.6375931792147165,0.0,0.0,0.0
1887-03-31,0.3622873173549998,0.6375799432794287,0.0,0.0,0.0
1887-04-30,0.3623317728022235,0.6375469561207237,0.0,0.0,0.0
1887-05-31,0.3623271820731349,0.637555394445482,0.0,0.0,0.0
1887-06-30,0.36232711592705547,0.6376112227916131,0.0,0.0,0.0
1887-07-31,0.36229966168109673,0.6375411984332473,0.0,0.0,0.0
1887-08-31,0.36228822560710083,0.6375255829891743,0.0,0.0,0.0
1887-09-30,0.36237846005783186,0.6376013273911663,0.0,0.0,0.0
1887-10-31,0.3623849633586505,0.6375426129715147,0.0,0.0,0.0
1887-11-30,0.3622828433427711,0.6375923220411348,0.0,0.0,0.0
1887-12-31,0.3622881600566261,0.6375275504628746,0.0,0.0,0.0
1888-01-31,0.38112848831469726,0.6187902817512659,0.0,0.0,0.0
1888-02-29,0.38103264848359336,0.6188017917368286,0.0,0.0,0.0
1888-03-31,0.38111758312148064,0.6187870415176215,0.0,0.0,0.0
