,Equities,Gov Bonds
1875-01-31,0.0,0.0
1875-02-28,0.5999563713550392,0.39998663557337594
1875-03-31,0.5999745392549352,0.39997394493046184
1875-04-30,0.5999645743199213,0.39998185008501136
1875-05-31,0.5999154474146499,0.399996827701316
1875-06-30,0.5999187346283317,0.39991602311901464
1875-07-31,0.5999601841721977,0.3999679693545455
1875-08-31,0.5999169785065411,0.39992425960111616
1875-09-30,0.5999712179342033,0.3999715415923847
1875-10-31,0.5999607901062242,0.3999812805425816
1875-11-30,0.5999425809695268,0.3999958417533934
1875-12-31,0.5999010090830128,0.39994187111120383
1876-01-31,0.5999539216118874,0.3999639299797255
1876-02-29,0.5999740561921464,0.39990563013539093
1876-03-31,0.5999592042144282,0.39999170869343575
1876-04-30,0.5999265974070365,0.39989918447103634
1876-05-31,0.5999842482342327,0.39998715628664244
1876-06-30,0.599971067938702,0.39989522014955586
1876-07-31,0.5999145903579898,0.39990913174557996
1876-08-31,0.5999897811242855,0.39991945383792143
1876-09-30,0.5999192055845444,0.39991975292442933
1876-10-31,0.5999639009663268,0.39997014065092795
1876-11-30,0.5999986531643972,0.3999723807281406
1876-12-31,0.5999344914848131,0.39995453039788975
1877-01-31,0.5999307116436422,0.3999486535150446
1877-02-28,0.5999213424389264,0.3999314982354111
1877-03-31,0.5999944947318658,0.39993501447489493
1877-04-30,0.5999263320209746,0.3999237852869554
1877-05-31,0.5999723920153262,0.3999937132081111
1877-06-30,0.5999397360379876,0.39996973490192117
1877-07-31,0.5999555883037354,0.39996335861914867
1877-08-31,0.5999751824487908,0.3999535593515652
1877-09-30,0.5999850745369211,0.3999633051795085
1877-10-31,0.5999756461465617,0.3999249158641814
1877-11-30,0.5999739454045488,0.3999893937133472
1877-12-31,0.5999156237082707,0.3999784959226364
1878-01-31,0.5999922120994106,0.39997138518436903
1878-02-28,0.5999881278980975,0.39994346253565904
1878-03-31,0.5999673765103481,0.39998812399532924
1878-04-30,0.5999246732465748,0.3999191723487891
1878-05-31,0.5999455329140454,0.39997465003505783
1878-06-30,0.5999184862269205,0.39991345518940263
1878-07-31,0.5999211729391367,0.3999800181045985
1878-08-31,0.5999364474262712,0.3999714171980594
1878-09-30,0.5999070797475807,0.39994694996592167
1878-10-31,0.5999513406683429,0.39995877607243624
1878-11-30,0.5999903851960081,0.39997234193272435
1878-12-31,0.5999712816044191,0.39997956960564324
1879-01-31,0.5999686394999904,0.3999965622058234
1879-02-28,0.5999807903583013,0.39998070971638955
1879-03-31,0.5999288067888078,0.3999509040336421
1879-04-30,0.5999658344232806,0.39999377634580824
1879-05-31,0.5999405105488045,0.39994253474856967
1879-06-30,0.5999947131852086,0.3999433539550814
1879-07-31,0.5999102921493041,0.3999911115054932
1879-08-31,0.5999939722987063,0.39998838556958977
1879-09-30,0.5999481206899222,0.39990852846686614
1879-10-31,0.5998948332032139,0.39995028783741365
1879-11-30,0.5999502076748704,0.39998127903674385
1879-12-31,0.599974004047451,0.39992899643705593
1880-01-31,0.5999791214394364,0.39997162034881184
1880-02-29,0.5999589341425223,0.3999449177166522
1880-03-31,0.599992799457877,0.39993822759384157
1880-04-30,0.5999330572836032,0.3999138930867913
1880-05-31,0.599919339619846,0.39992401921579934
1880-06-30,0.599988527143449,0.3999522775469399
1880-07-31,0.5999994743259204,0.39993599264708457
1880-08-31,0.5999628265068564,0.39995496311967527
1880-09-30,0.5999509056783482,0.3999142669400155
1880-10-31,0.5999080725233532,0.39995025503414305
1880-11-30,0.599961181828911,0.39991368927617454
1880-12-31,0.5999264675786399,0.39997353007206
1881-01-31,0.5999542088849271,0.39994393061529254
1881-02-28,0.5999674220810254,0.39993388700607624
1881-03-31,0.5998987454652293,0.39992252290932345
1881-04-30,0.5999766742482303,0.3999944668296212
1881-05-31,0.5999534597845437,0.3999475001072406
1881-06-30,0.5999322705472352,0.3999850075215443
1881-07-31,0.5999489237701656,0.3999804744897157
1881-08-31,0.5999352389837764,0.399928221083125
1881-09-30,0.5999613899148828,0.39999916823886594
1881-10-31,0.5999424822011427,0.3999849510210281
1881-11-30,0.5999990354167338,0.3999906586371077
1881-12-31,0.599924813715183,0.3999442841676995
1882-01-31,0.599997535722943,0.3999632403917563
1882-02-28,0.5999415795717252,0.3999755644479871
1882-03-31,0.5998960409958366,0.39993431774576504
1882-04-30,0.5999814269862322,0.3999951706340557
1882-05-31,0.5998933413213059,0.3999655945492568
1882-06-30,0.5999127710898393,0.3999298376896686
1882-07-31,0.5998991657099886,0.39996449638122566
1882-08-31,0.5999931533038201,0.3999612470555407
1882-09-30,0.5999059019076395,0.39998902768480127
1882-10-31,0.5999599679113595,0.3999518946382021
1882-11-30,0.5999531935323611,0.3999387266125516
1882-12-31,0.5999461234319449,0.39998230233175447
1883-01-31,0.5999777888226587,0.399986841720071
1883-02-28,0.5999795786753276,0.3999699847431836
1883-03-31,0.5999781357252142,0.39995425779043603
1883-04-30,0.5999485510223781,0.3999404293487582
1883-05-31,0.5999149850497943,0.3999283533240236
1883-06-30,0.5999795438584421,0.39996483069052513
1883-07-31,0.5998913497483931,0.3999679038450671
1883-08-31,0.5999176813603638,0.39997389902527813
1883-09-30,0.5999984848634083,0.39993688336445976
1883-10-31,0.5999295444639768,0.39999855598392187
1883-11-30,0.5999612757788985,0.3999380907525094
1883-12-31,0.5999855938500503,0.39992921358469014
1884-01-31,0.5999916116959512,0.39991735295420816
1884-02-29,0.5998989933980579,0.3999812678415517
1884-03-31,0.5999424556071895,0.39992250782244027
1884-04-30,0.5999859432834667,0.3999586486650456
