,arithmetic_mu,sigma,naive_md,adjusted_md,enb,div_ratio_sqrd
1875-02-28,0.07899919690145765,0.08805102264259858,-0.19607729778040006,-0.2827743428719451,1.4822321319517586,1.5524357571683898
1875-03-31,0.07712110031512262,0.08805102269258416,-0.19852103248092834,-0.2860317701599273,1.4822321311111812,1.552435756565099
1875-04-30,0.07469374324559093,0.08679394416148747,-0.1974617900249451,-0.28462063735274434,1.503803084372465,1.567731668296513
1875-05-31,0.07673116081931301,0.08805102271042813,-0.19902841252119424,-0.28670726946296243,1.4822321308111102,1.5524357563497349
1875-06-30,0.07518051733131985,0.08679394409342531,-0.19687577773754433,-0.2838394159703241,1.503803085563929,1.567731669131307
1875-07-31,0.07501231429060551,0.08679394411748927,-0.19707827218495588,-0.28410940693460746,1.5038030851426767,1.5677316688361587
1875-08-31,0.07496160124852944,0.08679394406176691,-0.19713932384480204,-0.28419079980615103,1.5038030861181257,1.5677316695196026
1875-09-30,0.07491625048004416,0.08679394433311076,-0.1971939210999894,-0.2842635843196497,1.50380308136811,1.5677316661915244
1875-10-31,0.07386485512799057,0.08679394435423324,-0.19845966307989493,-0.28595004694545517,1.5038030809983498,1.5677316659324536
1875-11-30,0.07149558862782668,0.08554853461738093,-0.19785377107922744,-0.2851429820711533,1.526037523995434,1.5831235217834092
1875-12-31,0.0709527850866746,0.08554853464374824,-0.19866010390688432,-0.286216950769309,1.5260375235154744,1.5831235214551098
1876-01-31,0.06978729075785053,0.0855485346825917,-0.20039144173871393,-0.2885205332378404,1.5260375228084135,1.5831235209714702
1876-02-29,0.06902225845337542,0.08554853462087426,-0.20152789431870155,-0.2900308154902961,1.5260375239318458,1.583123521739914
1876-03-31,0.06867521980592543,0.08554853464690637,-0.20204341908792312,-0.2907154508280749,1.5260375234579875,1.583123521415788
1876-04-30,0.06933250017743356,0.085548534605959,-0.20106703128562498,-0.28941852540421076,1.526037524203346,1.5831235219256239
1876-05-31,0.06967513380183105,0.08554853458795787,-0.2005580501889877,-0.28874203547034627,1.5260375245310174,1.5831235221497555
1876-06-30,0.0689741870945377,0.08554853453445714,-0.20159930386800828,-0.29012566736937684,1.5260375255048821,1.583123522815893
1876-07-31,0.06985238888479742,0.08554853452649423,-0.2002947381878725,-0.2883919540110408,1.5260375256498298,1.5831235229150395
1876-08-31,0.07103185474377852,0.0855485345878849,-0.19854264602710697,-0.286060551081721,1.5260375245323454,1.5831235221506645
