,arithmetic_mu,sigma,naive_md,adjusted_md,enb,div_ratio_sqrd
1875-02-28,0.07577272110066906,0.08200000000055974,-0.18051596826995545,-0.2618774426781892,1.5942194454653171,1.628158029719105
1875-03-31,0.07356412234441127,0.0810000000017627,-0.17991443539954732,-0.2610643126334725,1.6147314052406572,1.6411201091316372
1875-04-30,0.07185125219882312,0.0810000000017627,-0.1823266662803405,-0.2643226754542313,1.6147314052406572,1.6411201091316372
1875-05-31,0.07316308326236064,0.0810000000017627,-0.18043030159912604,-0.261761665924312,1.6147314052406572,1.6411201091316372
1875-06-30,0.07226079184213516,0.0810000000017627,-0.18176824849236153,-0.2635689522751709,1.6147314052406572,1.6411201091316372
1875-07-31,0.0721503392529,0.0810000000017627,-0.1819188534253991,-0.26377226473198206,1.6147314052406572,1.6411201091316372
1875-08-31,0.07212211284299326,0.0810000000017627,-0.1819573408579105,-0.26382421768911624,1.6147314052406572,1.6411201091316372
1875-09-30,0.07203802680996019,0.0810000000017627,-0.18207199431657572,-0.263978975077764,1.6147314052406572,1.6411201091316372
1875-10-31,0.07108858595897566,0.0810000000017627,-0.1833665812228296,-0.26572538418524416,1.6147314052406572,1.6411201091316372
1875-11-30,0.06901516258289833,0.08000000000506527,-0.1827997320148908,-0.264960926509487,1.6358034933493917,1.654175888757411
1875-12-31,0.06848644371035613,0.08000000000506527,-0.18352065373294485,-0.26593310659545244,1.6358034933493917,1.654175888757411
1876-01-31,0.06741547439145593,0.08000000000506527,-0.1849809478163626,-0.2679005960350901,1.6358034933493917,1.654175888757411
1876-02-29,0.06670713276371401,0.08000000000506527,-0.1859467897595214,-0.2692006093852287,1.6358034933493917,1.654175888757411
1876-03-31,0.06551442562533619,0.07799999999999994,-0.18108618733216714,-0.2626478763814837,1.679558896258641,1.6804915182877376
1876-04-30,0.06698048217946728,0.08000000000506527,-0.1855740708333246,-0.26869905512054465,1.6358034933493917,1.654175888757411
1876-05-31,0.06732840356099687,0.08000000000506527,-0.1850996711227298,-0.2680604517028727,1.6358034933493917,1.654175888757411
1876-06-30,0.06669022319175766,0.08000000000506527,-0.1859698463937734,-0.26923163083810076,1.6358034933493917,1.654175888757411
1876-07-31,0.06746074589023432,0.08000000000506527,-0.18491921896881597,-0.26781747475244444,1.6358034933493917,1.654175888757411
1876-08-31,0.06858311240946033,0.08000000000506527,-0.18338884348697204,-0.26575540005128767,1.6358034933493917,1.654175888757411
1876-09-30,0.06940391488457553,0.08000000000506527,-0.1822696582993924,-0.26424574477894075,1.6358034933493917,1.654175888757411
1876-10-31,0.06850339533100588,0.08000000000506527,-0.18349753976422295,-0.2659019457298082,1.6358034933493917,1.654175888757411
1876-11-30,0.06885388639985776,0.08000000000506527,-0.1830196362191795,-0.2652575331567378,1.6358034933493917,1.654175888757411
1876-12-31,0.06834969592277776,0.08000000000506527,-0.1837071128420874,-0.266184458085409,1.6358034933493917,1.654175888757411
1877-01-31,0.06814848355066085,0.08000000000506527,-0.1839814710625587,-0.2665542302150773,1.6358034933493917,1.654175888757411
1877-02-28,0.06968022958712042,0.08000000000506527,-0.18189289612874307,-0.2637372248853958,1.6358034933493917,1.654175888757411
1877-03-31,0.07124393915332461,0.08000000000506527,-0.17976073810384588,-0.2608564864309594,1.6358034933493917,1.654175888757411
1877-04-30,0.07181873790577908,0.0810000000017627,-0.1823710003512805,-0.26438250057146506,1.6147314052406572,1.6411201091316372
1877-05-31,0.07336350868104938,0.0810000000017627,-0.1801559479011206,-0.26139082818645376,1.6147314052406572,1.6411201091316372
1877-06-30,0.07404667184580713,0.0810000000017627,-0.17933350917915913,-0.26027866009471534,1.6147314052406572,1.6411201091316372
1877-07-31,0.0680208422813984,0.08000000000506527,-0.18415551320084822,-0.2667887562880675,1.6358034933493917,1.654175888757411
1877-08-31,0.0659546950234297,0.08000000000506527,-0.1869727578810039,-0.27058042801126037,1.6358034933493917,1.654175888757411
1877-09-30,0.06413677367093701,0.07799999999999994,-0.1828405279297302,-0.26501595603158945,1.679558896258641,1.6804915182877376
1877-10-31,0.06338563275232484,0.07799999999999994,-0.18376173262326564,-0.26625807965887427,1.679558896258641,1.6804915182877376
1877-11-30,0.062399069924507986,0.07799999999999994,-0.18518639633550935,-0.2681772135567867,1.679558896258641,1.6804915182877376
1877-12-31,0.06170424540311928,0.07799999999999994,-0.18627060258516254,-0.26963622844391016,1.679558896258641,1.6804915182877376
1878-01-31,0.06163655089085844,0.07799999999999994,-0.18637623330342465,-0.2697783064331033,1.679558896258641,1.6804915182877376
1878-02-28,0.06227143837297994,0.07799999999999994,-0.18538555298810283,-0.2684453153403718,1.679558896258641,1.6804915182877376
1878-03-31,0.061373990748399346,0.07799999999999994,-0.1867859329305982,-0.27032925443501254,1.679558896258641,1.6804915182877376
1878-04-30,0.06034921119241596,0.07699999999999994,-0.18499122640925506,-0.2679144363177252,1.7021859470392064,1.6937033470116343
1878-05-31,0.05919226384122145,0.07699999999999994,-0.18679653049693717,-0.27034350317712136,1.7021859470392064,1.6937033470116343
1878-06-30,0.05881009971384092,0.07699999999999994,-0.18739286053789642,-0.2711450875344229,1.7021859470392064,1.6937033470116343
1878-07-31,0.058881835101089734,0.07699999999999994,-0.18728092442628508,-0.2709946533010617,1.7021859470392064,1.6937033470116343
1878-08-31,0.05879062708892673,0.07699999999999994,-0.18742324567972607,-0.2711859206419578,1.7021859470392064,1.6937033470116343
1878-09-30,0.05774989368194875,0.07699999999999994,-0.1890472091832207,-0.2733668082190117,1.7021859470392064,1.6937033470116343
