,arithmetic_mu,sigma,naive_md,adjusted_md,enb,div_ratio_sqrd
1875-02-28,0.07563128963459353,0.08174188045895427,-0.17984454607047737,-0.26096981299602706,1.599459760791626,1.6314939225506773
1875-03-31,0.07271010077591226,0.07937333347255246,-0.17572844429842444,-0.25539482128800844,1.6492876403930536,1.6623972099492614
1875-04-30,0.07102487681332782,0.07937333343866346,-0.1780262902036524,-0.25850940181363996,1.6492876411279525,1.662397210394566
1875-05-31,0.0723063967063736,0.07937333346025788,-0.17627890509228816,-0.2561414640837519,1.6492876406596673,1.6623972101108138
1875-06-30,0.07141196270347287,0.07937333349042529,-0.1774984888508516,-0.25779451526943525,1.6492876400054735,1.6623972097144109
1875-07-31,0.07131829944886743,0.07937333347212444,-0.17762620103694307,-0.2579675245951127,1.6492876404023356,1.6623972099548854
1875-08-31,0.07129661041705986,0.07937333351450174,-0.17765577472452762,-0.25800758496188314,1.6492876394833642,1.6623972093980444
1875-09-30,0.07120126311237293,0.07937333330814264,-0.17778578254596505,-0.2581836814847312,1.6492876439583553,1.6623972121096222
1875-10-31,0.07028146269945161,0.07937333329207885,-0.17903995390400654,-0.2598815107495383,1.6492876443067066,1.6623972123207023
1875-11-30,0.06872642357231296,0.07937333336008294,-0.18116028978387444,-0.26274797133798783,1.649287642832007,1.6623972114271217
1875-12-31,0.06819934424516831,0.07937333333774207,-0.18187897586733337,-0.2637184335699642,1.6492876433164783,1.6623972117206833
1876-01-31,0.06713937828890987,0.07937333330483035,-0.18332426647733602,-0.26566833036617155,1.6492876440301847,1.6623972121531465
1876-02-29,0.06643763587420266,0.07937333335712309,-0.18428111039421557,-0.26695798090456535,1.6492876428961925,1.662397211466015
1876-03-31,0.06510517605590793,0.0770658459176566,-0.17850670541919303,-0.2591598392659612,1.7006818430129937,1.6928331489853987
1876-04-30,0.0667066907709951,0.07937333336976071,-0.1839142471955586,-0.2664636354762859,1.64928764262214,1.6623972112999554
1876-05-31,0.06705522769038703,0.07937333338501296,-0.1834390082328081,-0.2658230344030626,1.6492876422913882,1.662397211099539
1876-06-30,0.06642435378022096,0.0793733334303437,-0.184299221106909,-0.26698238112037165,1.6492876413083704,1.662397210503889
1876-07-31,0.06718234188007578,0.07937333343709062,-0.1832656849499482,-0.26558934046832416,1.6492876411620603,1.6623972104152334
1876-08-31,0.06829806161521942,0.07937333338507477,-0.18174437235962304,-0.2635367178709994,1.6492876422900475,1.662397211098727
1876-09-30,0.0691144815111009,0.07937333346013056,-0.18063116317450123,-0.2620331135101016,1.649287640662428,1.6623972101124869
1876-10-31,0.06822933311586749,0.07937333339261837,-0.1818380854524282,-0.2636632333247112,1.6492876421264606,1.6623972109996035
1876-11-30,0.06858395516494636,0.07937333348602166,-0.181354549513087,-0.26301034179928273,1.6492876401009682,1.6623972097722752
1876-12-31,0.06809104247000192,0.07937333336649792,-0.18202664820360942,-0.26391776935466227,1.6492876426928953,1.6623972113428285
1877-01-31,0.06789019908528261,0.07937333355988141,-0.18230050392764496,-0.2642873705350994,1.6492876384992856,1.6623972088017507
1877-02-28,0.06941164166516253,0.07937333342273681,-0.1802259775757562,-0.26148549359619677,1.6492876414733284,1.662397210603844
1877-03-31,0.07095805125463193,0.07937333341970253,-0.1781174085021778,-0.2586327870120332,1.6492876415391289,1.6623972106437146
1877-04-30,0.07105924151349931,0.07937333363979664,-0.17797943370768984,-0.2584459488943188,1.6492876367662872,1.6623972077516567
1877-05-31,0.0725571367487981,0.07937333347838099,-0.17593701468422157,-0.25567776453574564,1.649287640266659,1.6623972098726736
1877-06-30,0.07321983450397376,0.07937333337304248,-0.17504454848905915,-0.25446672348238547,1.6492876425509733,1.6623972112568324
1877-07-31,0.06768286801505691,0.07937333342126895,-0.18258320469997547,-0.2646688226337798,1.6492876415051598,1.662397210623132
1877-08-31,0.06564515966949733,0.0793733334485704,-0.18536167228358222,-0.2684131697860811,1.6492876409131156,1.6623972102643882
1877-09-30,0.06369686444261988,0.07706584603666437,-0.18023386943993633,-0.26149616140059073,1.7006818402962767,1.692833147412624
1877-10-31,0.06296208580291202,0.0770658460432398,-0.1811375077997574,-0.262717198887075,1.7006818401461727,1.6928331473257252
1877-11-30,0.06199010883972192,0.07706584606501367,-0.18265418361775773,-0.2647645816713362,1.7006818396491172,1.692833147037967
1877-12-31,0.061310964432933726,0.07706584595849313,-0.1837139222085194,-0.2661936365559242,1.7006818420807748,1.6928331484457135
1878-01-31,0.06124454144145919,0.07706584606021456,-0.18381756918711573,-0.2663333379320063,1.7006818397586714,1.6928331471013909
1878-02-28,0.0618675040968517,0.07706584605857018,-0.1828454964013079,-0.26502265786719487,1.7006818397962093,1.6928331471231226
1878-03-31,0.06099198411792088,0.07706584597397664,-0.18421166009328216,-0.2668644085017097,1.7006818417273166,1.692833148241088
1878-04-30,0.06037503622046121,0.07706584603084328,-0.18517434762029764,-0.26816099235232976,1.7006818404291606,1.6928331474895533
1878-05-31,0.059217508360752014,0.0770658460310962,-0.18698055753605075,-0.2705909132878079,1.7006818404233874,1.6928331474862106
1878-06-30,0.05883423997087415,0.07706584607151264,-0.18757861080863195,-0.2713946923752866,1.7006818395007584,1.6928331469520776
1878-07-31,0.05890561055986937,0.07706584594409772,-0.18746724349696917,-0.27124504535890864,1.7006818424093941,1.6928331486359598
1878-08-31,0.05881437375019942,0.07706584605064266,-0.18760961004764307,-0.27143634439362097,1.7006818399771793,1.6928331472278904
1878-09-30,0.05777225249027321,0.07706584608218506,-0.1892357392680322,-0.27361980510647466,1.700681839257128,1.6928331468110345
1878-10-31,0.057891270047193924,0.07706584617034605,-0.18905002421738176,-0.2733705861258158,1.7006818372445829,1.6928331456459227
1878-11-30,0.057726214950561336,0.07706584596771453,-0.18930757599350914,-0.27371619570924316,1.7006818418702683,1.6928331483238457
1878-12-31,0.0564264035507069,0.07482506737716142,-0.1835746461436261,-0.2660058936339038,1.7528482285563531,1.7223749333613283
1879-01-31,0.0554606120682173,0.07482506735418402,-0.1849806591960803,-0.26790020740178544,1.752848229100345,1.7223749336627374
1879-02-28,0.055204581596885446,0.07482506751279248,-0.18535339259206274,-0.2684020244377342,1.7528482253452782,1.722374931582164
1879-03-31,0.05526597344427845,0.07482506748081952,-0.18526401734607228,-0.26828171101864884,1.7528482261022402,1.7223749320015749
1879-04-30,0.054413106895006724,0.07482506751523346,-0.18650563285647503,-0.2699523378295795,1.7528482252874873,1.7223749315501438
1879-05-31,0.05269355832906755,0.0748250673748588,-0.18903125515037617,-0.2733453970000334,1.7528482286108682,1.7223749333915328
1879-06-30,0.053164775466732275,0.07482506720626395,-0.18832297062910427,-0.2723945567784979,1.7528482326023638,1.7223749356031048
1879-07-31,0.05333688822835872,0.07482506719876393,-0.18807240636883787,-0.2720580533511478,1.7528482327799275,1.7223749357014873
1879-08-31,0.053532568697055395,0.0748250675194805,-0.1877875330458934,-0.2716753895590304,1.7528482251869386,1.7223749314944332
