,arithmetic_mu,sigma,naive_md,adjusted_md,enb,div_ratio_sqrd
1875-02-28,0.07571118721286393,0.08188761855696099,-0.180223578970013,-0.2614822512743019,1.5964963450154528,1.629609547814266
1875-03-31,0.07340474799583824,0.08069431584823938,-0.1791098901329903,-0.25997613569723643,1.6211139355040485,1.645101895553758
1875-04-30,0.0716970370933147,0.08069431587067057,-0.181499301278011,-0.26320581898049367,1.621113935033783,1.6451018952612633
1875-05-31,0.07300321158915433,0.08069431585637722,-0.17966441931772462,-0.2607262329796468,1.6211139353334403,1.645101895447644
1875-06-30,0.07210238647773083,0.08069431583640936,-0.18094659689901618,-0.2624593061823408,1.6211139357520625,1.645101895708017
1875-07-31,0.07199506706015045,0.08069431584852269,-0.1810929297134085,-0.2626569840000812,1.6211139354981088,1.6451018955500636
1875-08-31,0.07196806061337371,0.08069431582047311,-0.18112975359975264,-0.2627067248781077,1.6211139360861626,1.6451018959158203
1875-09-30,0.07188187313306957,0.0806943159570625,-0.18124727289919224,-0.26286545733038114,1.621113933222594,1.6451018941347428
1875-10-31,0.07093796367529431,0.08069431596769515,-0.18253431764529032,-0.26460286493517254,1.6211139329996824,1.6451018939960969
1875-11-30,0.06879211716331886,0.07951553327254036,-0.1815320185963593,-0.26324999824773904,1.646209363213652,1.6605293318691434
1875-12-31,0.06826466482201062,0.0795155332845637,-0.1822512134056578,-0.26422085314546057,1.6462093629538328,1.6605293317112648
1876-01-31,0.0672021954109899,0.07951553330227612,-0.1836999177045437,-0.26617475957148184,1.6462093625710754,1.6605293314786835
1876-02-29,0.06649895152006599,0.0795155332741333,-0.18465880866174827,-0.267466771836703,1.6462093631792296,1.6605293318482262
1876-03-31,0.06566738905946079,0.0783519260879287,-0.18201867510791006,-0.2639070074688392,1.671710144744295,1.6758469896542052
1876-04-30,0.06676898349399096,0.07951553326733202,-0.1842906131303474,-0.2669707838036608,1.6462093633262018,1.6605293319375343
1876-05-31,0.06711738035814031,0.07951553325912362,-0.1838155650603988,-0.26633063676645763,1.6462093635035822,1.6605293320453176
1876-06-30,0.06648484406532175,0.07951553323472758,-0.18467804440960867,-0.26749267978706687,1.6462093640307693,1.6605293323656638
1876-07-31,0.06724568401786793,0.07951553323109654,-0.18364061964482864,-0.26609482799853923,1.6462093641092348,1.6605293324133428
1876-08-31,0.06836291605224426,0.07951553325909033,-0.18211724525533743,-0.264040050085107,1.6462093635043014,1.6605293320457561
1876-09-30,0.06918033302207598,0.07951553321869692,-0.18100267615983945,-0.2625350652203881,1.6462093643771851,1.6605293325761616
1876-10-31,0.06829168743936238,0.07951553325503052,-0.18221436727930254,-0.2641711276792708,1.6462093635920316,1.660529332099065
1876-11-30,0.06864536955963894,0.0795155332047629,-0.18173211249087423,-0.2635201659701374,1.6462093646782932,1.6605293327591297
1876-12-31,0.06814989102357856,0.07951553326908797,-0.18240771036785391,-0.26443203602927,1.6462093632882562,1.6605293319144767
1877-01-31,0.06794896358248789,0.07951553316501327,-0.18268167973994287,-0.2648016757349776,1.6462093655372654,1.660529333281082
1877-02-28,0.06947275046673258,0.07951553323882143,-0.18060395755337327,-0.26199634999156124,1.6462093639423032,1.6605293323119068
1877-03-31,0.07102309612795984,0.07951553324045445,-0.17849002156032934,-0.2591372551303767,1.6462093639070146,1.6605293322904637
1877-04-30,0.07167700343011021,0.08069431573754021,-0.18152661723877567,-0.26324270469871813,1.6211139378248338,1.6451018969972357
1877-05-31,0.07321302652902947,0.08069431584438147,-0.17935273992711362,-0.2603046739613766,1.6211139355849287,1.6451018956040642
1877-06-30,0.07389237055996103,0.08069431591410521,-0.17852285682607277,-0.25918170235527443,1.6211139341231844,1.645101894694891
1877-07-31,0.06775976351544485,0.0795155332396114,-0.1829396591169351,-0.2651496662484482,1.6462093639252324,1.6605293323015335
1877-08-31,0.06571558476486251,0.07951553322491837,-0.18572694912720353,-0.2689047963495111,1.6462093642427422,1.660529332494468
1877-09-30,0.06430119663433864,0.07835192604645445,-0.183824418695799,-0.2663425696786218,1.671710145665629,1.6758469902013096
1877-10-31,0.06354394005783234,0.07835192604416291,-0.18475312366899926,-0.26759379749894996,1.6717101457165344,1.6758469902315385
1877-11-30,0.06255192553497715,0.07835192603657472,-0.18614260918082004,-0.2694640552063171,1.6717101458851034,1.6758469903316373
1877-12-31,0.06185124032379131,0.07835192607369716,-0.18723596059429762,-0.2709342212043432,1.6717101450604428,1.6758469898419395
1878-01-31,0.061783070562047834,0.07835192603824721,-0.18734233277290957,-0.27107718349117227,1.6717101458479495,1.6758469903095752
1878-02-28,0.06242241513489857,0.07835192603882025,-0.18634469760190353,-0.2697358908045608,1.6717101458352193,1.6758469903020163
1878-03-31,0.061516771708266124,0.07835192606830113,-0.18775786639838643,-0.2716355339005381,1.6717101451803131,1.6758469899131205
1878-04-30,0.06042922027035431,0.07720418048479491,-0.18555919597541382,-0.2686790353958183,1.6975282428725742,1.691004961294916
1878-05-31,0.059270474432850564,0.07720418048473172,-0.1873673064262673,-0.2711107458261252,1.6975282428740128,1.6910049612957518
1878-06-30,0.05888488911637858,0.0772041804746366,-0.18796897486660397,-0.27191912651141503,1.6975282431038339,1.6910049614291642
1878-07-31,0.05895549446896149,0.07720418050646201,-0.18785880217243975,-0.2717711321127665,1.6975282423793099,1.691004961008573
1878-08-31,0.05886419710992332,0.07720418047984945,-0.18800126275270568,-0.2719624961285573,1.6975282429851604,1.6910049613602745
1878-09-30,0.05781916393126789,0.07720418047197086,-0.18963193560597924,-0.2741513511383492,1.697528243164521,1.6910049614643938
